,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5096,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/1/2021,6141,-17.57142857,5,33,-14.85714286,-39.85714286,9
5097,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/2/2021,6142,-19.28571429,10.57142857,25.71428571,-18,-38,11
5098,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/3/2021,6191,-24.71428571,7.142857143,12.28571429,-27.85714286,-40.14285714,12.85714286
5099,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/4/2021,6150,-27.71428571,6.571428571,9.142857143,-33.57142857,-40.14285714,13.28571429
5100,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/5/2021,6170,-34.14285714,3,1.142857143,-41.57142857,-41,14.42857143
5101,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/6/2021,6345,-45.14285714,-13.28571429,-9.571428571,-51.71428571,-46.28571429,17
5102,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/7/2021,6370,-49.28571429,-21.28571429,-15.57142857,-58.14285714,-45,17.57142857
5103,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/8/2021,6486,-42.57142857,-8.428571429,-14.71428571,-53.85714286,-38.28571429,15.85714286
5104,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/9/2021,6559,-39.85714286,-4.142857143,-13.14285714,-52.28571429,-35.57142857,15
5105,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/10/2021,6637,-39.28571429,-3.714285714,-13.71428571,-52.42857143,-34.71428571,14.85714286
5106,Basilicata,ChIJgyyNBTHqOBMRjbbjVk3MQQI,1/11/2021,6647,-42,-7.857142857,-19.57142857,-53.57142857,-33.14285714,14.85714286
