,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
6188,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/1/2021,8863,-9.714285714,8.857142857,83.42857143,-15,-39.85714286,8.857142857
6189,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/2/2021,8816,-11.85714286,14.28571429,70.42857143,-16.71428571,-37.71428571,10.14285714
6190,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/3/2021,8657,-19.14285714,10.85714286,55.85714286,-23.42857143,-38.42857143,11.57142857
6191,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/4/2021,8563,-23.28571429,8.142857143,39.28571429,-27.42857143,-38.71428571,12.14285714
6192,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/5/2021,8498,-30.57142857,4,18.71428571,-32.85714286,-40.14285714,13
6193,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/6/2021,8691,-42.14285714,-12.28571429,-2.571428571,-42.14285714,-45.28571429,15.28571429
6194,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/7/2021,8804,-48.42857143,-22.85714286,-20.14285714,-47.14285714,-45.14285714,16
6195,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/8/2021,8960,-41,-10.14285714,-15.57142857,-40.85714286,-39,14.57142857
6196,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/9/2021,9270,-38.85714286,-6.857142857,-13.57142857,-38.57142857,-36.71428571,13.85714286
6197,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/10/2021,9612,-38.42857143,-6.571428571,-12.85714286,-38,-36.14285714,13.71428571
6198,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/11/2021,9629,-41,-10,-15,-39,-35,13.85714286
6199,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/12/2021,9744,-40.85714286,-13,-16.85714286,-39.42857143,-33.42857143,13.57142857
6200,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/13/2021,9611,-36.28571429,-4.714285714,-16.28571429,-36.71428571,-28,11.71428571
6201,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/14/2021,9667,-37.85714286,-6,-18.14285714,-37.85714286,-28,11.42857143
6202,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/15/2021,9810,-40.71428571,-8.857142857,-24,-39.85714286,-28.71428571,11.42857143
6203,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/16/2021,9990,-41.14285714,-9.857142857,-23,-40.71428571,-29.42857143,11.14285714
6204,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/17/2021,10233,-41.71428571,-10.71428571,-25,-42.71428571,-30.71428571,10.85714286
6205,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/18/2021,10214,-42.71428571,-12.28571429,-26,-43.28571429,-31.71428571,10.85714286
6206,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/19/2021,10095,-43,-13,-24,-43.14285714,-32.14285714,10.57142857
6207,Calabria,ChIJCxVihNKQPxMRcSMmPSQdpJE,1/20/2021,10105,-43.28571429,-13.85714286,-23,-43.28571429,-32.42857143,10.57142857
