,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
8372,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/1/2021,78328,-15.71428571,11.14285714,28.57142857,-3.285714286,-45.71428571,10.57142857
8373,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/2/2021,78015,-16.57142857,18,17.85714286,-6.857142857,-42.42857143,11.57142857
8374,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/3/2021,77825,-23.57142857,15,0.142857143,-18.28571429,-43.14285714,13
8375,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/4/2021,77497,-28.57142857,10.57142857,-10.57142857,-26.85714286,-42.71428571,13.42857143
8376,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/5/2021,76360,-35.28571429,5.857142857,-22.57142857,-36.57142857,-43,14.28571429
8377,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/6/2021,76343,-45.57142857,-9.142857143,-36.28571429,-49.28571429,-47.57142857,16.71428571
8378,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/7/2021,76359,-51.85714286,-20.85714286,-50.42857143,-58.28571429,-46.57142857,17.42857143
8379,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/8/2021,75146,-45,-8.714285714,-46.14285714,-53,-39.85714286,15.85714286
8380,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/9/2021,75276,-43.57142857,-6,-45.42857143,-51.57142857,-37.57142857,15.28571429
8381,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/10/2021,75388,-43,-6,-44.85714286,-51,-37.14285714,15.14285714
8382,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/11/2021,74717,-44.57142857,-9.142857143,-46,-51.85714286,-36.28571429,15.14285714
8383,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/12/2021,72589,-43,-11,-42.42857143,-50.28571429,-34.71428571,14.42857143
8384,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/13/2021,72260,-37.85714286,-4.571428571,-36.42857143,-46.14285714,-28.85714286,12
8385,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/14/2021,72753,-38.28571429,-5.428571429,-36.71428571,-46.57142857,-29,11.57142857
8386,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/15/2021,72933,-39.42857143,-7.428571429,-38.42857143,-47.42857143,-29.42857143,11.14285714
8387,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/16/2021,74066,-38.42857143,-7.571428571,-35,-46.28571429,-29.71428571,10.42857143
8388,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/17/2021,73111,-38,-8.142857143,-35.14285714,-46.85714286,-30.42857143,10
8389,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/18/2021,72662,-38.57142857,-9.571428571,-35.71428571,-47.28571429,-31.14285714,9.714285714
8390,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/19/2021,71880,-39.14285714,-10.71428571,-35.71428571,-47.42857143,-31.57142857,9.571428571
8391,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/20/2021,70866,-39.71428571,-11.57142857,-37.85714286,-48.14285714,-32,9.714285714
8392,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/21/2021,71178,-39.42857143,-11.14285714,-37,-47.85714286,-31.85714286,9.714285714
8393,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/22/2021,62133,-38.71428571,-10,-36.14285714,-47.28571429,-31.42857143,9.714285714
8394,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/23/2021,62453,-38.85714286,-10.28571429,-38.57142857,-47.85714286,-31.28571429,9.857142857
8395,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/24/2021,62985,-39,-10.71428571,-39.57142857,-48.28571429,-31.28571429,10
8396,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/25/2021,63073,-39.42857143,-10.71428571,-41.14285714,-48.42857143,-31.14285714,10.14285714
8397,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/26/2021,63233,-39,-9.857142857,-40.85714286,-48,-30.85714286,10
8398,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/27/2021,62995,-38.14285714,-8.714285714,-38.57142857,-47,-30.42857143,9.714285714
8399,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/28/2021,63589,-37.28571429,-7.571428571,-36.57142857,-46.28571429,-30,9.428571429
8400,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/29/2021,61642,-36.71428571,-6.571428571,-35.71428571,-45.85714286,-29.71428571,9.285714286
8401,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/30/2021,61656,-35,-5,-29,-43.28571429,-29.14285714,8.714285714
8402,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,1/31/2021,62422,-33.57142857,-3,-26.85714286,-41.85714286,-28.28571429,8.428571429
8403,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/1/2021,62333,-33,-2.142857143,-26,-41.28571429,-27.85714286,8.142857143
8404,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/2/2021,61859,-32.42857143,-1.285714286,-24.28571429,-40.85714286,-27.57142857,7.857142857
8405,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/3/2021,62117,-32.28571429,-1.142857143,-23.85714286,-40.57142857,-27.28571429,7.714285714
8406,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/4/2021,62349,-32.28571429,-1.285714286,-23.57142857,-40.14285714,-27,7.571428571
8407,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/5/2021,63319,-31.57142857,-0.857142857,-19.85714286,-38.85714286,-26.57142857,7.142857143
8408,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/6/2021,64240,-31.42857143,-1.142857143,-17.28571429,-38,-26.28571429,6.857142857
8409,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/7/2021,65472,-31.14285714,-0.857142857,-16.71428571,-37.57142857,-26.28571429,6.714285714
8410,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/8/2021,65708,-30.85714286,-0.571428571,-16.14285714,-37.28571429,-26.14285714,6.714285714
8411,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/9/2021,65333,-31.85714286,-1.571428571,-20.42857143,-38.42857143,-26.28571429,7.142857143
8412,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/10/2021,65751,-33,-2.714285714,-24.71428571,-39.57142857,-26.42857143,7.571428571
8413,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/11/2021,66293,-32.42857143,-1.714285714,-24.14285714,-39.28571429,-26.14285714,7.571428571
8414,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/12/2021,67332,-32.71428571,-1,-27.14285714,-40,-26,7.714285714
8415,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/13/2021,68084,-35.42857143,-2.571428571,-38.42857143,-44.57142857,-27.28571429,8.857142857
8416,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/14/2021,68994,-34.57142857,-2.428571429,-36,-43.14285714,-27.28571429,8.857142857
8417,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/15/2021,69056,-34.57142857,-2,-35.57142857,-43.28571429,-27.42857143,9
8418,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/16/2021,68980,-33.57142857,-2,-30.71428571,-42.28571429,-27.85714286,9.142857143
8419,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/17/2021,69679,-33,-1.285714286,-28.14285714,-41.28571429,-27.42857143,9
8420,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/18/2021,69182,-33.57142857,-2.142857143,-28.28571429,-41.42857143,-27.42857143,9.142857143
8421,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/19/2021,69229,-33.42857143,-2.571428571,-26.28571429,-41,-27.28571429,9.142857143
8422,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/20/2021,70352,-30.42857143,-0.285714286,-16,-36.71428571,-25.85714286,8.142857143
8423,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/21/2021,71294,-31.57142857,0.571428571,-14.57142857,-37.14285714,-25.28571429,8.285714286
8424,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/22/2021,71252,-32,0.428571429,-12.85714286,-36.85714286,-24.71428571,8.142857143
8425,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/23/2021,70533,-32.85714286,1.428571429,-13.71428571,-36.85714286,-23.71428571,7.857142857
8426,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/24/2021,71830,-32.85714286,2.428571429,-11.57142857,-36.71428571,-23.57142857,7.714285714
8427,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/25/2021,72972,-33.57142857,2.714285714,-12.14285714,-37.14285714,-23.57142857,7.857142857
8428,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/26/2021,73701,-34.14285714,3.285714286,-12.28571429,-37.28571429,-23.71428571,8
8429,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/27/2021,74991,-35.57142857,3.857142857,-17,-39.42857143,-24,8.571428571
8430,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,2/28/2021,77023,-35.42857143,4.285714286,-17.14285714,-39.42857143,-24,8.571428571
8431,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/1/2021,77953,-35.42857143,4.571428571,-17.42857143,-39.71428571,-24.71428571,8.857142857
8432,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/2/2021,79285,-35.57142857,4.571428571,-17.85714286,-40.14285714,-25.42857143,9.142857143
8433,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/3/2021,81252,-35.85714286,4.285714286,-18,-40.57142857,-26.28571429,9.428571429
8434,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/4/2021,82958,-35.85714286,4.285714286,-18.14285714,-40.71428571,-27,9.714285714
8435,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/5/2021,85210,-36.14285714,4.142857143,-19.57142857,-41.42857143,-27.71428571,10
8436,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/6/2021,87433,-35.85714286,4.714285714,-19.57142857,-41.14285714,-27.85714286,9.857142857
8437,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/7/2021,89595,-35.42857143,5.285714286,-20.28571429,-40.85714286,-27.28571429,9.857142857
8438,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/8/2021,89907,-37.85714286,3.285714286,-24.28571429,-42.57142857,-28,10.57142857
8439,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/9/2021,91233,-41.28571429,-0.285714286,-30.57142857,-44.85714286,-29.14285714,11.42857143
8440,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/10/2021,92427,-43.28571429,-0.714285714,-34.28571429,-46.14285714,-29.85714286,12
8441,Campania,ChIJ35Zq01gTOxMRzUO1VBRFAs0,3/11/2021,93707,-45.28571429,-1.571428571,-37.14285714,-47.42857143,-30.57142857,12.42857143
