,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
14196,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/1/2021,11753,-37,-15.57142857,-9.857142857,-45,-52,15.42857143
14197,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/2/2021,11847,-38.14285714,-10.14285714,-12.85714286,-45.57142857,-50,17.14285714
14198,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/3/2021,11649,-41.71428571,-7.714285714,-15.71428571,-46.85714286,-50.28571429,18.57142857
14199,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/4/2021,11693,-44.85714286,-9.714285714,-16.42857143,-47,-50.71428571,19.28571429
14200,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/5/2021,11794,-51.71428571,-13.85714286,-24.28571429,-49,-52,20.71428571
14201,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/6/2021,11830,-61.57142857,-27.28571429,-35.85714286,-54.14285714,-57.28571429,23.85714286
14202,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/7/2021,12365,-63.42857143,-33.28571429,-40,-53.28571429,-54.42857143,23.85714286
14203,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/8/2021,12576,-54,-19.42857143,-31.42857143,-45.14285714,-45.71428571,20.42857143
14204,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/9/2021,12890,-50.85714286,-15.14285714,-25.85714286,-41.42857143,-42,19.28571429
14205,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/10/2021,12885,-50.42857143,-14.85714286,-27.42857143,-41.57142857,-41.28571429,19.28571429
14206,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/11/2021,12919,-49.42857143,-17.85714286,-30.28571429,-40.57142857,-37.57142857,18.42857143
14207,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/12/2021,12918,-44.42857143,-17.85714286,-26.14285714,-36.85714286,-33,16.71428571
14208,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/13/2021,12798,-36.85714286,-9.571428571,-19.85714286,-30.57142857,-24.42857143,13.14285714
14209,Friuli Venezia Giulia,ChIJ67q-XqQzekcRgHyQFYcJBwE,1/14/2021,12863,-37.85714286,-11.42857143,-20.42857143,-30.85714286,-24,12.71428571
