,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18200,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/1/2021,5597,-35.14285714,-12.85714286,-19.85714286,-49.28571429,-50,12.57142857
18201,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/2/2021,5702,-34.85714286,-6.571428571,-23.14285714,-49.57142857,-47.14285714,14.57142857
18202,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/3/2021,5787,-37.42857143,-5.714285714,-26,-52,-48.14285714,16.14285714
18203,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/4/2021,5748,-40.85714286,-8.428571429,-30.71428571,-52.42857143,-47.71428571,16.85714286
18204,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/5/2021,5572,-47.28571429,-11.71428571,-38.42857143,-54.57142857,-48.57142857,18.14285714
18205,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/6/2021,5424,-56.85714286,-23.85714286,-47.28571429,-59.28571429,-53.57142857,20.85714286
18206,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/7/2021,5301,-59.42857143,-30.57142857,-51.42857143,-59.14285714,-51.14285714,21.14285714
18207,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/8/2021,5205,-49.71428571,-17.28571429,-37.71428571,-51.71428571,-42.57142857,18.14285714
18208,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/9/2021,5144,-46.71428571,-13.85714286,-34.14285714,-48.71428571,-39,17.14285714
18209,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/10/2021,5226,-45.71428571,-13,-33.28571429,-47.71428571,-38.14285714,16.85714286
18210,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/11/2021,5082,-44.57142857,-14.14285714,-29.28571429,-46.28571429,-35.42857143,16.14285714
18211,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/12/2021,5028,-40.71428571,-14.28571429,-21.85714286,-42.85714286,-32,14.71428571
18212,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/13/2021,5002,-33.85714286,-7.142857143,-14.57142857,-37.14285714,-24.28571429,11.71428571
18213,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/14/2021,5074,-34.57142857,-8.428571429,-12.85714286,-36.85714286,-24.28571429,11.28571429
18214,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/15/2021,5034,-35.57142857,-10.14285714,-16.14285714,-37.28571429,-24.42857143,11
18215,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/16/2021,4854,-33.57142857,-10.14285714,-10.14285714,-35.14285714,-24.28571429,10
18216,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/17/2021,4966,-33.14285714,-10,-7.285714286,-34.42857143,-24.57142857,9.571428571
18217,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/18/2021,5049,-35.28571429,-11.14285714,-6.857142857,-34.71428571,-25.42857143,9.428571429
18218,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/19/2021,4811,-37.57142857,-12.71428571,-10.14285714,-35.71428571,-26.14285714,9.571428571
18219,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/20/2021,4758,-40,-14,-15.14285714,-36.71428571,-26.85714286,10
18220,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/21/2021,4603,-42.42857143,-15.28571429,-20.85714286,-37.85714286,-27.42857143,10.57142857
18221,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/22/2021,4518,-45.42857143,-17.42857143,-27,-39.14285714,-28.14285714,11.42857143
18222,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/23/2021,4570,-46.42857143,-16.28571429,-27.71428571,-39.71428571,-28.28571429,11.85714286
18223,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/24/2021,4612,-45.28571429,-15.28571429,-24.14285714,-38.14285714,-27.71428571,11.57142857
18224,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/25/2021,4538,-44.71428571,-14.57142857,-22.85714286,-37.28571429,-27.42857143,11.42857143
18225,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/26/2021,4417,-43.71428571,-13.57142857,-17.14285714,-35.71428571,-27.14285714,11
18226,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/27/2021,4245,-42.85714286,-12.71428571,-13.14285714,-34.42857143,-26.71428571,10.57142857
18227,Liguria,ChIJtU8s2GUS0xIRkHw8R33mBQE,1/28/2021,4246,-41.71428571,-11.14285714,-9,-33.14285714,-26.14285714,10.14285714
