,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
20020,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/1/2021,55312,-31.71428571,-10.57142857,16.42857143,-38.57142857,-49.28571429,14
20021,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/2/2021,56010,-31.71428571,-5.857142857,13.42857143,-40.71428571,-47.71428571,15.42857143
20022,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/3/2021,56955,-35.28571429,-6.714285714,6.571428571,-45.42857143,-47.42857143,16.71428571
20023,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/4/2021,52687,-37.85714286,-7.857142857,0.857142857,-48.57142857,-48.42857143,17.57142857
20024,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/5/2021,52317,-44.57142857,-11.28571429,-15,-53.85714286,-50.28571429,19.28571429
20025,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/6/2021,52691,-54.85714286,-23.14285714,-32.42857143,-61.85714286,-56.28571429,22.85714286
20026,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/7/2021,54242,-58.57142857,-30.28571429,-47.71428571,-66.28571429,-54.85714286,23.42857143
20027,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/8/2021,54677,-49.28571429,-17.14285714,-38.42857143,-60.42857143,-46.57142857,20.14285714
20028,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/9/2021,55437,-46.57142857,-14.28571429,-33.14285714,-57.57142857,-43.14285714,19.14285714
20029,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/10/2021,57798,-45.28571429,-13.42857143,-30.57142857,-56.42857143,-42.28571429,18.85714286
20030,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/11/2021,54507,-46.85714286,-16,-29,-55.71428571,-39,18.14285714
20031,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/12/2021,54415,-45.28571429,-17.57142857,-26.14285714,-53.85714286,-35.42857143,17
20032,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/13/2021,54963,-40.42857143,-11.14285714,-21.42857143,-49.71428571,-27.71428571,13.85714286
20033,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/14/2021,56100,-42.85714286,-12.28571429,-21.57142857,-49.85714286,-27.57142857,13.71428571
20034,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/15/2021,57154,-45.28571429,-13.42857143,-24.85714286,-50.42857143,-27.57142857,13.57142857
20035,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/16/2021,57998,-44.71428571,-13.14285714,-22.14285714,-49.85714286,-27.57142857,13
20036,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/17/2021,56142,-46.42857143,-14.57142857,-24.71428571,-51.28571429,-28.85714286,13.14285714
20037,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/18/2021,53564,-48.42857143,-16.85714286,-27,-52.42857143,-29.85714286,13.28571429
20038,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/19/2021,53461,-50.28571429,-18.71428571,-29.28571429,-53.42857143,-30.71428571,13.42857143
20039,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/20/2021,53698,-52.14285714,-20.57142857,-34.14285714,-54.57142857,-31.42857143,13.71428571
20040,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/21/2021,53055,-53.85714286,-22.14285714,-38.71428571,-55.57142857,-31.85714286,14.14285714
20041,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/22/2021,53215,-55.57142857,-23.85714286,-42.28571429,-56.57142857,-32.14285714,14.71428571
20042,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/23/2021,52468,-56.85714286,-24.42857143,-45.42857143,-57.85714286,-32.42857143,15.28571429
20043,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/24/2021,53004,-54.42857143,-22.57142857,-40.28571429,-56,-31.28571429,14.71428571
20044,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/25/2021,49977,-52.71428571,-21.14285714,-37.28571429,-54.85714286,-30.71428571,14.42857143
20045,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/26/2021,48968,-51.14285714,-20,-32.85714286,-53.57142857,-30,14
20046,Lombardia,ChIJf4M-GsNEgUcR1JMVKCIm8qY,1/27/2021,49038,-49.71428571,-18.71428571,-29.14285714,-52.14285714,-29.28571429,13.57142857
