,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
24752,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/1/2021,11739,-39.42857143,-13.85714286,-20.57142857,-51.28571429,-55.42857143,15.85714286
24753,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/2/2021,11787,-38.28571429,-6,-21,-50.57142857,-52.85714286,17.57142857
24754,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/3/2021,12066,-40.85714286,-5.285714286,-23,-51.57142857,-52.85714286,19
24755,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/4/2021,12317,-40.85714286,-6.142857143,-16.14285714,-49.14285714,-51.14285714,18.85714286
24756,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/5/2021,12706,-45.28571429,-8.428571429,-23.42857143,-50.14285714,-50.71428571,19.57142857
24757,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/6/2021,13298,-52.85714286,-21.14285714,-28.14285714,-52.14285714,-55,21.85714286
24758,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/7/2021,13582,-53.71428571,-26,-29,-50.28571429,-50.71428571,21.28571429
24759,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/8/2021,14012,-45.42857143,-12.42857143,-25.42857143,-45.14285714,-41.57142857,18.57142857
24760,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/9/2021,14606,-43.28571429,-9.857142857,-24.57142857,-43.42857143,-37.85714286,17.71428571
24761,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/10/2021,15246,-43.57142857,-10,-28.57142857,-44.71428571,-37.42857143,17.85714286
24762,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/11/2021,14569,-44.85714286,-13.57142857,-36.14285714,-45.71428571,-34.42857143,17.42857143
24763,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/12/2021,14190,-41.71428571,-15,-30.28571429,-43,-30.57142857,16
24764,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/13/2021,13158,-35.42857143,-7,-27.28571429,-39,-21.85714286,12.85714286
24765,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/14/2021,12193,-36.28571429,-9,-27.85714286,-39.28571429,-21.85714286,12.57142857
24766,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/15/2021,11689,-36.71428571,-10.57142857,-26.28571429,-38.85714286,-21.85714286,11.85714286
24767,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/16/2021,11094,-34.71428571,-10.71428571,-21.14285714,-37,-22,10.71428571
24768,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/17/2021,10542,-34.28571429,-10.57142857,-18.71428571,-36.42857143,-22.28571429,10.28571429
24769,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/18/2021,10251,-36.14285714,-11.85714286,-17.14285714,-36.71428571,-23,10.14285714
24770,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/19/2021,9540,-38.14285714,-13.28571429,-18.14285714,-37.42857143,-23.71428571,10
24771,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/20/2021,8615,-39.85714286,-14.14285714,-18.85714286,-37.85714286,-24.42857143,10.14285714
24772,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/21/2021,8074,-41.42857143,-14.28571429,-20.14285714,-38.42857143,-24.57142857,10.42857143
24773,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/22/2021,8271,-42.71428571,-14.28571429,-20.57142857,-38.71428571,-24.57142857,10.85714286
24774,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/23/2021,8411,-44.14285714,-14,-22.57142857,-39.42857143,-24.42857143,11.42857143
24775,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/24/2021,8825,-44.14285714,-13.71428571,-24.28571429,-40,-24.28571429,11.57142857
24776,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/25/2021,8664,-44.28571429,-13.85714286,-27,-40.14285714,-24.14285714,11.57142857
24777,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/26/2021,8748,-44,-13.42857143,-26.14285714,-39.42857143,-23.71428571,11.42857143
24778,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/27/2021,8986,-43.71428571,-13.14285714,-26.14285714,-38.85714286,-23.28571429,11.28571429
24779,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/28/2021,9027,-43.28571429,-12.71428571,-24.85714286,-38,-22.85714286,11
24780,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/29/2021,9007,-43,-12.42857143,-25.14285714,-37.71428571,-22.57142857,10.85714286
24781,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/30/2021,9160,-42.28571429,-12.28571429,-21.28571429,-36.85714286,-22,10.57142857
24782,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,1/31/2021,9258,-41.42857143,-11.28571429,-18.71428571,-35.42857143,-21.42857143,10.28571429
24783,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/1/2021,9172,-39.28571429,-10.28571429,-14.28571429,-34.28571429,-21,9.857142857
24784,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/2/2021,8681,-37.57142857,-9.857142857,-13,-34,-20.85714286,9.714285714
24785,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/3/2021,8353,-35.85714286,-9.571428571,-10.14285714,-33.14285714,-20.71428571,9.428571429
24786,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/4/2021,8112,-34.42857143,-9.428571429,-8,-32.57142857,-20.57142857,9.142857143
24787,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/5/2021,7927,-33.14285714,-9.142857143,-5.857142857,-31.71428571,-20.42857143,8.714285714
24788,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/6/2021,7625,-31.71428571,-9,-4.142857143,-30,-20.14285714,8.285714286
24789,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/7/2021,7626,-28.71428571,-8.285714286,1.428571429,-27.57142857,-19.42857143,7.571428571
24790,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/8/2021,7669,-28.71428571,-8.285714286,2.714285714,-27.14285714,-19.28571429,7.571428571
24791,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/9/2021,7605,-28.71428571,-8,3.285714286,-27,-19.14285714,7.571428571
24792,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/10/2021,7512,-29.14285714,-7.857142857,0.571428571,-27.71428571,-18.85714286,7.714285714
24793,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/11/2021,7708,-28.85714286,-7.142857143,0.428571429,-27.71428571,-18.57142857,7.714285714
24794,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/12/2021,7959,-29,-6.142857143,-2.428571429,-28.28571429,-18.28571429,7.857142857
24795,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/13/2021,8079,-31,-7.428571429,-10.14285714,-31.85714286,-20.28571429,9
24796,Marche,ChIJPX4ilLt_LRMR0WA6TId0Fks,2/14/2021,8130,-31.42857143,-7.857142857,-12.28571429,-32.85714286,-20.85714286,9.285714286
