,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
26936,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/1/2021,1723,-30.85714286,-10.28571429,6,-34.14285714,-48.57142857,13
26937,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/2/2021,1739,-31,-4,0.714285714,-35.57142857,-45.85714286,14.57142857
26938,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/3/2021,1738,-33.71428571,-1.857142857,-2.285714286,-38.42857143,-46.71428571,15.71428571
26939,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/4/2021,1668,-35.85714286,-2.857142857,-5.428571429,-38.42857143,-45.71428571,15.71428571
26940,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/5/2021,1552,-42.42857143,-8.142857143,-20,-41.85714286,-46.57142857,16.71428571
26941,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/6/2021,1471,-52.85714286,-23,-36.14285714,-47.57142857,-51.42857143,19.14285714
26942,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/7/2021,1535,-56.57142857,-31.71428571,-47.42857143,-49.42857143,-49.14285714,19.14285714
26943,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/8/2021,1324,-48.28571429,-18.85714286,-42.71428571,-43.85714286,-41.85714286,17
26944,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/9/2021,1165,-46,-15.42857143,-41.28571429,-42.14285714,-39.14285714,16.14285714
26945,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/10/2021,1246,-45.71428571,-16.14285714,-42.14285714,-42.28571429,-38.85714286,16
26946,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/11/2021,1210,-47.28571429,-20.57142857,-46.85714286,-43.57142857,-37.42857143,16
26947,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/12/2021,1152,-44.14285714,-20.42857143,-42.42857143,-41.57142857,-34.57142857,15
26948,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/13/2021,1116,-37.14285714,-11.57142857,-36.57142857,-37.42857143,-27.57142857,12.42857143
26949,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/14/2021,1147,-38,-13.14285714,-36.42857143,-38.42857143,-27.71428571,12
26950,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/15/2021,1130,-39,-15.14285714,-36.57142857,-39.28571429,-28,11.42857143
26951,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/16/2021,1168,-38.28571429,-15.57142857,-35,-39.28571429,-28.14285714,10.71428571
26952,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/17/2021,1144,-36.71428571,-15,-31.71428571,-39.42857143,-28,10.14285714
26953,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/18/2021,1085,-37.71428571,-16.85714286,-31.85714286,-39.14285714,-28.57142857,9.857142857
26954,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/19/2021,1096,-38.14285714,-17.85714286,-31.71428571,-38.71428571,-28.42857143,9.285714286
26955,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/20/2021,1135,-38.57142857,-18.28571429,-33,-38.42857143,-28.14285714,9
26956,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/21/2021,1045,-38.57142857,-18.28571429,-33.57142857,-37.71428571,-27.28571429,8.857142857
26957,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/22/2021,1051,-38.42857143,-17.71428571,-34.42857143,-36.85714286,-26.42857143,8.857142857
26958,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/23/2021,1048,-37.28571429,-17,-32.28571429,-35.14285714,-25.28571429,8.571428571
26959,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/24/2021,1082,-36.71428571,-16.57142857,-32.85714286,-34.71428571,-24.85714286,8.428571429
26960,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/25/2021,1063,-36.57142857,-16.28571429,-33.42857143,-34.71428571,-24.42857143,8.285714286
26961,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/26/2021,1019,-37.28571429,-17.14285714,-35.28571429,-35,-24.57142857,8.571428571
26962,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/27/2021,1022,-37,-17,-35,-34.85714286,-24.42857143,8.571428571
26963,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/28/2021,1036,-36.28571429,-16.71428571,-32.71428571,-34.14285714,-24.42857143,8.571428571
26964,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/29/2021,1071,-35.71428571,-16.28571429,-30.71428571,-33.71428571,-24.28571429,8.428571429
26965,Molise,ChIJU9hGRqSQMBMRn54iK3OMYRw,1/30/2021,1115,-34.71428571,-15.57142857,-25.42857143,-32.85714286,-23.85714286,8
