,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
31304,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/1/2021,16679,-36.28571429,-13,-14.42857143,-47.14285714,-51.57142857,13
31305,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/2/2021,16672,-36.14285714,-6.714285714,-16.57142857,-47.14285714,-49,14.57142857
31306,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/3/2021,16754,-39.57142857,-6.142857143,-22.42857143,-50.14285714,-48.85714286,15.71428571
31307,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/4/2021,16726,-42.14285714,-7.142857143,-22.42857143,-49.14285714,-47.71428571,15.71428571
31308,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/5/2021,16770,-48,-9.428571429,-30.28571429,-51,-47.85714286,16.57142857
31309,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/6/2021,16913,-57.85714286,-23.42857143,-39.85714286,-54.85714286,-51.85714286,18.42857143
31310,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/7/2021,17059,-59.28571429,-29.57142857,-43.85714286,-53.71428571,-48.57142857,18.14285714
31311,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/8/2021,17065,-49.57142857,-15.57142857,-38.42857143,-47.28571429,-40.85714286,16.28571429
31312,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/9/2021,17142,-46.71428571,-11.28571429,-35,-45,-37.85714286,15.42857143
31313,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/10/2021,17227,-45.57142857,-10.28571429,-32.42857143,-44,-37,15.28571429
31314,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/11/2021,17257,-44.42857143,-12.71428571,-33.42857143,-43.14285714,-34.57142857,14.71428571
31315,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/12/2021,17413,-40.28571429,-13.71428571,-28.71428571,-40.28571429,-31.14285714,13.42857143
31316,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/13/2021,17447,-32.71428571,-4.857142857,-24.14285714,-35.57142857,-24,11.14285714
31317,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/14/2021,17453,-33.85714286,-6.428571429,-24.57142857,-36.71428571,-24,10.85714286
31318,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/15/2021,17451,-35.28571429,-8.571428571,-26,-38,-24.42857143,10.57142857
31319,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/16/2021,17675,-33.14285714,-8.857142857,-21.71428571,-37,-24.28571429,9.714285714
31320,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/17/2021,17748,-30.85714286,-8.571428571,-22.42857143,-37.57142857,-24.14285714,9
31321,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/18/2021,17616,-31.57142857,-10.14285714,-19.57142857,-38.28571429,-24.71428571,8.714285714
31322,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/19/2021,17422,-32.14285714,-11.71428571,-17.28571429,-39,-25.14285714,8.428571429
31323,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/20/2021,17276,-32,-12.28571429,-12.57142857,-38.71428571,-25.42857143,8.142857143
31324,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/21/2021,17116,-32.14285714,-12.42857143,-11.71428571,-38.57142857,-25.42857143,8.142857143
31325,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/22/2021,17003,-32,-12.14285714,-11,-38.28571429,-25,8.142857143
31326,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/23/2021,17023,-31.28571429,-11.28571429,-12.28571429,-37.71428571,-24.71428571,8
31327,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/24/2021,17098,-34.14285714,-12.14285714,-14,-38.57142857,-25.85714286,8.571428571
31328,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/25/2021,17003,-36.57142857,-12.14285714,-18,-39.42857143,-26,9
31329,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/26/2021,16798,-38.57142857,-11.71428571,-19,-39.71428571,-26.14285714,9.285714286
31330,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/27/2021,16548,-41,-11.85714286,-24,-40.57142857,-26.42857143,9.857142857
31331,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/28/2021,16353,-42.42857143,-11.28571429,-23.71428571,-40.71428571,-26.57142857,10
31332,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/29/2021,16087,-43.57142857,-10.71428571,-21.57142857,-40.85714286,-26.85714286,10.14285714
31333,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/30/2021,15951,-45.42857143,-10.85714286,-20.57142857,-41.71428571,-27.14285714,10.42857143
31334,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,1/31/2021,15980,-44.42857143,-9.571428571,-19.14285714,-41,-26.42857143,10.28571429
31335,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/1/2021,15556,-43.71428571,-9.142857143,-18.71428571,-40.28571429,-26.14285714,10.14285714
31336,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/2/2021,15192,-43,-8.714285714,-17.28571429,-39.42857143,-25.71428571,9.857142857
31337,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/3/2021,14838,-42,-8.142857143,-11.42857143,-38.14285714,-25.14285714,9.285714286
31338,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/4/2021,14751,-41.42857143,-8,-8,-37.28571429,-24.71428571,9
31339,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/5/2021,14706,-41.14285714,-7.571428571,-5.571428571,-36.14285714,-24.28571429,8.714285714
31340,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/6/2021,14648,-40.85714286,-7.285714286,-3.571428571,-35.14285714,-23.71428571,8.428571429
31341,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/7/2021,14685,-40.57142857,-6.857142857,-3.428571429,-34.85714286,-23.57142857,8.285714286
31342,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/8/2021,14527,-38.14285714,-6.428571429,-2,-33.71428571,-23.14285714,7.857142857
31343,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/9/2021,14386,-36.14285714,-6,-3.285714286,-33.28571429,-22.85714286,7.714285714
31344,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/10/2021,14312,-35.14285714,-6.428571429,-10.28571429,-34,-22.85714286,7.857142857
31345,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/11/2021,14191,-33.14285714,-5.714285714,-11.71428571,-33.57142857,-22.42857143,7.571428571
31346,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/12/2021,14066,-31.42857143,-5.428571429,-13.28571429,-33.42857143,-22,7.428571429
31347,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/13/2021,14025,-29.57142857,-4.857142857,-17.42857143,-33.57142857,-21.85714286,7.428571429
31348,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/14/2021,14002,-25.28571429,-3.285714286,-11.71428571,-31.28571429,-20.42857143,6.571428571
31349,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/15/2021,13945,-25.57142857,-3.285714286,-9.142857143,-31.85714286,-20.85714286,6.714285714
31350,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/16/2021,13826,-25.57142857,-3.428571429,-5.428571429,-32.42857143,-22,7
31351,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/17/2021,13658,-24.85714286,-2.428571429,0.714285714,-31.14285714,-21.42857143,6.714285714
31352,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/18/2021,13502,-25,-2.428571429,3,-30.85714286,-21.14285714,6.714285714
31353,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/19/2021,13329,-24.85714286,-2,5.714285714,-30.42857143,-20.85714286,6.571428571
31354,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/20/2021,13280,-24.42857143,-2,13.42857143,-29.14285714,-20.57142857,6.142857143
31355,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/21/2021,13208,-24.28571429,-1.714285714,18,-28.71428571,-20.71428571,6
31356,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/22/2021,13162,-24.57142857,-1.571428571,15.85714286,-28.28571429,-19.85714286,6
31357,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/23/2021,13087,-24.42857143,-0.857142857,15.71428571,-27.28571429,-18.28571429,5.571428571
31358,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/24/2021,12971,-23.85714286,-0.285714286,19.42857143,-27,-18.14285714,5.428571429
31359,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/25/2021,12892,-23.57142857,0.142857143,21.14285714,-26.71428571,-18,5.428571429
31360,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/26/2021,12817,-23.28571429,0.571428571,22,-26.57142857,-17.85714286,5.428571429
31361,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/27/2021,12835,-23.14285714,1.142857143,21.14285714,-26.57142857,-17.57142857,5.428571429
31362,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,2/28/2021,12855,-23,1.428571429,20.57142857,-26.42857143,-17.42857143,5.428571429
31363,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/1/2021,12805,-21.71428571,2.428571429,24.42857143,-25.71428571,-17.28571429,5.142857143
31364,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/2/2021,12739,-21.28571429,2.714285714,23.14285714,-26,-17,5.142857143
31365,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/3/2021,12706,-20.85714286,3,21.71428571,-26.14285714,-16.71428571,5.142857143
31366,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/4/2021,12701,-20.42857143,3.285714286,19,-26.14285714,-16.57142857,5.142857143
31367,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/5/2021,12686,-20.28571429,3.428571429,17.14285714,-26.14285714,-16.42857143,5
31368,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/6/2021,12646,-19.85714286,3.571428571,17,-25.85714286,-16.28571429,4.857142857
31369,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/7/2021,12686,-19.57142857,4.142857143,15.57142857,-26,-16.14285714,4.857142857
31370,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/8/2021,12658,-20,4.285714286,12.42857143,-26.57142857,-16,5
31371,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/9/2021,12720,-20.57142857,4.428571429,9.714285714,-26.85714286,-16.28571429,5.285714286
31372,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/10/2021,12680,-21,4.714285714,7.428571429,-26.85714286,-16.28571429,5.428571429
31373,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/11/2021,12765,-21.14285714,4.857142857,9.285714286,-26.71428571,-16.14285714,5.428571429
31374,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/12/2021,12760,-21,5.142857143,10,-26.71428571,-16.14285714,5.571428571
31375,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/13/2021,12789,-20.71428571,5.285714286,10.42857143,-26.42857143,-16.14285714,5.571428571
31376,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/14/2021,12880,-21.42857143,5.142857143,6,-27.14285714,-16.42857143,5.857142857
31377,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/15/2021,12835,-22,5,4.714285714,-27.28571429,-16.57142857,6
31378,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/16/2021,12816,-21.85714286,5.285714286,5.571428571,-26.85714286,-16.28571429,5.857142857
31379,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/17/2021,12819,-21.85714286,5.428571429,4.714285714,-26.71428571,-16.14285714,5.857142857
31380,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/18/2021,12813,-22.14285714,5.571428571,1.142857143,-27.14285714,-16,6
31381,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/19/2021,12867,-22,5.714285714,-2,-27.42857143,-15.71428571,6.142857143
31382,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/20/2021,12898,-22.14285714,6,-6.285714286,-28.14285714,-15.57142857,6.428571429
31383,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/21/2021,13016,-21.28571429,6.714285714,-5,-27.71428571,-15.28571429,6.285714286
31384,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/22/2021,13084,-23.57142857,6.714285714,-4,-28.14285714,-15.28571429,6.428571429
31385,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/23/2021,13167,-25.57142857,7.142857143,-1.428571429,-28.28571429,-15.42857143,6.571428571
31386,Sardegna,ChIJHeK-0hzF3RIRYH0OyxW-CAE,3/24/2021,13229,-27.57142857,7.285714286,1.428571429,-28.57142857,-15.71428571,6.714285714
