,sub_region_1,place_id,date,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
33488,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/1/2021,34347,-28.85714286,-5.714285714,-2.142857143,-33.85714286,-40.57142857,9.714285714
33489,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/2/2021,34950,-27.85714286,1.142857143,-5.285714286,-35,-38.14285714,11.14285714
33490,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/3/2021,35591,-31.14285714,0.714285714,-8.285714286,-39,-40.14285714,12.42857143
33491,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/4/2021,36578,-33.14285714,-1.571428571,-10.42857143,-41.14285714,-40.14285714,12.71428571
33492,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/5/2021,37426,-39.14285714,-6.142857143,-21.28571429,-45.71428571,-41.85714286,13.85714286
33493,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/6/2021,37739,-48.57142857,-20.57142857,-31.85714286,-52.57142857,-47.42857143,16
33494,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/7/2021,38705,-51.85714286,-28.57142857,-39.42857143,-55,-47.42857143,16.28571429
33495,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/8/2021,39672,-44.14285714,-15.42857143,-32.85714286,-48.85714286,-40.71428571,14.85714286
33496,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/9/2021,40398,-41.71428571,-11.85714286,-31.28571429,-46.28571429,-38,14.14285714
33497,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/10/2021,41506,-40.57142857,-10.71428571,-30,-44.85714286,-36.85714286,13.85714286
33498,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/11/2021,42819,-43.14285714,-13.57142857,-32.57142857,-46.28571429,-36,14
33499,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/12/2021,44038,-42.71428571,-16.14285714,-32.57142857,-45.85714286,-34.42857143,13.57142857
33500,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/13/2021,44677,-38.14285714,-8.714285714,-30.42857143,-43.28571429,-29,11.85714286
33501,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/14/2021,44865,-41,-11,-34.14285714,-45.57142857,-29.42857143,12.14285714
33502,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/15/2021,45045,-43.57142857,-13.71428571,-38.85714286,-47.57142857,-30.42857143,12.28571429
33503,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/16/2021,45452,-43.57142857,-13.57142857,-38.85714286,-48.42857143,-31.28571429,11.85714286
33504,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/17/2021,46425,-46.42857143,-17,-43.14285714,-52.14285714,-34.85714286,12.57142857
33505,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/18/2021,46885,-49.28571429,-19.71428571,-47,-54,-36.28571429,13
33506,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/19/2021,47527,-51.14285714,-21.42857143,-48,-55,-37.28571429,13.14285714
33507,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/20/2021,46707,-53.14285714,-23.14285714,-50.14285714,-56.14285714,-38.14285714,13.57142857
33508,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/21/2021,46898,-54.42857143,-23.85714286,-51.14285714,-57,-38.42857143,13.85714286
33509,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/22/2021,47289,-55.42857143,-24,-50.57142857,-57.42857143,-38.42857143,14.14285714
33510,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/23/2021,47627,-57.28571429,-25.85714286,-52.85714286,-59.14285714,-39.14285714,15
33511,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/24/2021,47654,-56.71428571,-25,-52.42857143,-58.85714286,-38.28571429,15
33512,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/25/2021,48001,-55.57142857,-23.85714286,-50.71428571,-58.14285714,-37.71428571,14.71428571
33513,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/26/2021,47479,-55.42857143,-23.71428571,-51.85714286,-58.14285714,-37.42857143,14.71428571
33514,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/27/2021,47030,-54.71428571,-22.71428571,-51.28571429,-57.57142857,-37,14.57142857
33515,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/28/2021,46176,-53.85714286,-21.57142857,-50.28571429,-56.85714286,-36.71428571,14.42857143
33516,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/29/2021,44267,-53.28571429,-20.85714286,-49.57142857,-56.57142857,-36.42857143,14.28571429
33517,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/30/2021,42868,-52.14285714,-19.85714286,-46.71428571,-55.71428571,-35.85714286,13.85714286
33518,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,1/31/2021,42289,-51,-18.71428571,-45.14285714,-54.85714286,-34.71428571,13.42857143
33519,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,2/1/2021,42202,-49,-17.28571429,-43,-53.85714286,-33.71428571,12.85714286
33520,Sicilia,ChIJs1lT0GhiEBMRUH22ZykECwE,2/2/2021,41613,-46.42857143,-15.14285714,-38.57142857,-52.28571429,-32.42857143,12.14285714
