date,sub_region_1,place_id,infected,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1/1/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,92582,-34,-11.42857143,16.71428571,-27.42857143,-46.85714286,15.28571429
1/2/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,94121,-34.42857143,-5.428571429,10,-31.85714286,-44.85714286,16.71428571
1/3/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,95159,-37.85714286,-4.428571429,6,-38.14285714,-45.28571429,17.71428571
1/4/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,94956,-42,-7.285714286,-3.285714286,-44,-47.42857143,18.71428571
1/5/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,94228,-49,-12.14285714,-16.71428571,-51,-50.28571429,20.57142857
1/6/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,91299,-59.28571429,-26.14285714,-32.57142857,-60.28571429,-57.14285714,23.85714286
1/7/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,92176,-62.42857143,-33.42857143,-47.57142857,-66.14285714,-55.57142857,24.14285714
1/8/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,90950,-53.14285714,-19.42857143,-38.85714286,-60,-46.71428571,20.57142857
1/9/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,89451,-50.71428571,-16.57142857,-35,-57.42857143,-43,19.57142857
1/10/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,88813,-50.57142857,-16.28571429,-36.28571429,-57.42857143,-42.71428571,19.57142857
1/11/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,87540,-52,-19.85714286,-36.85714286,-56.71428571,-38.85714286,18.71428571
1/12/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,84725,-49.85714286,-20.71428571,-33.57142857,-54.14285714,-34.42857143,17.14285714
1/13/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,81970,-45,-13.28571429,-30.42857143,-50,-25.85714286,13.85714286
1/14/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,79825,-47.71428571,-15.14285714,-31,-50.42857143,-25.71428571,13.71428571
1/15/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,75353,-50.85714286,-17.28571429,-35,-51.42857143,-25.71428571,13.71428571
1/16/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,72371,-50.57142857,-17.28571429,-34,-51.28571429,-25.85714286,13.28571429
1/17/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,70640,-50.42857143,-17.14285714,-33.57142857,-51.42857143,-26.28571429,13
1/18/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,69083,-50.85714286,-18.42857143,-34,-51.85714286,-27,12.71428571
1/19/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,63171,-51.14285714,-19.71428571,-34.14285714,-52.28571429,-27.57142857,12.42857143
1/20/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,57469,-51.42857143,-20.57142857,-36.28571429,-52.85714286,-28,12.42857143
1/21/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,53557,-51.57142857,-20.85714286,-38.28571429,-53,-28,12.42857143
1/22/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,49850,-51.85714286,-21.42857143,-40.28571429,-53.42857143,-27.85714286,12.57142857
1/23/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,47541,-51.85714286,-21.28571429,-43.14285714,-54,-27.71428571,12.71428571
1/24/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,45706,-51,-20.42857143,-41.14285714,-53,-27.14285714,12.57142857
1/25/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,44519,-50.71428571,-20.14285714,-41.57142857,-52.85714286,-26.85714286,12.57142857
1/26/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,41787,-50.14285714,-19.57142857,-39.14285714,-52.28571429,-26.57142857,12.42857143
1/27/2021,Veneto,ChIJd7cEzPHXeEcRcHyQFYcJBwE,41345,-49.71428571,-19.42857143,-37.71428571,-51.85714286,-26.28571429,12.28571429
