,date,ML,Low_90,High_90
Basilicata,2021-01-01,2.0,0.5,5.54
Basilicata,2021-01-02,1.8900000000000001,0.49,5.48
Basilicata,2021-01-03,1.94,0.5,5.45
Basilicata,2021-01-04,1.95,0.5,5.41
Basilicata,2021-01-05,2.0100000000000002,0.5,5.38
Basilicata,2021-01-06,1.99,0.48,5.33
Basilicata,2021-01-07,1.92,0.48,5.3100000000000005
Basilicata,2021-01-08,1.9000000000000001,0.49,5.3100000000000005
Basilicata,2021-01-09,1.8800000000000001,0.47000000000000003,5.28
Basilicata,2021-01-10,1.8800000000000001,0.49,5.3100000000000005
Basilicata,2021-01-11,1.23,0.06,10.790000000000001
Basilicata,2021-01-12,0.84,0.01,10.75
Basilicata,2021-01-13,0.8,0.04,10.790000000000001
Basilicata,2021-01-14,0.76,0.03,10.78
Basilicata,2021-01-15,0.76,0.0,10.74
Basilicata,2021-01-16,0.72,0.02,10.76
Basilicata,2021-01-17,0.65,0.0,10.73
Basilicata,2021-01-18,0.55,0.01,10.74
Basilicata,2021-01-19,0.48,0.0,10.72
Basilicata,2021-01-20,0.49,0.0,10.71
Basilicata,2021-01-21,0.42,0.0,10.69
Basilicata,2021-01-22,0.48,0.01,10.68
Basilicata,2021-01-23,0.49,0.0,10.64
Basilicata,2021-01-24,0.49,0.0,10.61
Basilicata,2021-01-25,0.51,0.0,10.59
Basilicata,2021-01-26,0.48,0.0,10.57
Basilicata,2021-01-27,0.47000000000000003,0.0,10.540000000000001
Basilicata,2021-01-28,0.44,0.0,10.53
Basilicata,2021-01-29,0.35000000000000003,0.0,10.53
Basilicata,2021-01-30,0.25,0.0,10.48
Basilicata,2021-01-31,0.3,0.0,10.52
Basilicata,2021-02-01,0.02,0.0,10.57
Basilicata,2021-02-02,0.0,0.0,10.4
Basilicata,2021-02-03,0.0,0.0,10.26
Basilicata,2021-02-04,0.0,0.0,10.16
Basilicata,2021-02-05,0.06,0.0,10.06
Basilicata,2021-02-06,1.57,0.0,9.98
Basilicata,2021-02-07,2.17,0.0,9.92
Basilicata,2021-02-08,2.19,0.0,9.85
Basilicata,2021-02-09,2.37,0.0,9.89
Basilicata,2021-02-10,2.34,0.0,9.84
Basilicata,2021-02-11,2.25,0.0,9.790000000000001
Basilicata,2021-02-12,2.09,0.0,10.11
Basilicata,2021-02-13,1.97,0.0,10.31
