sub_region_1,date,ML,Low_90,High_90,Low_50,High_50
Basilicata,2021-12-10,1.68,0.77,2.65,1.32,2.1
Basilicata,2021-12-11,2.29,1.54,3.09,2.0300000000000002,2.67
Basilicata,2021-12-12,1.69,1.04,2.39,1.47,2.0300000000000002
Basilicata,2021-12-13,1.8800000000000001,1.27,2.5300000000000002,1.6600000000000001,2.18
Basilicata,2021-12-14,1.06,0.46,1.68,0.87,1.3800000000000001
Basilicata,2021-12-15,1.56,0.97,2.2,1.37,1.8800000000000001
Basilicata,2021-12-16,1.41,0.8300000000000001,1.99,1.21,1.69
Basilicata,2021-12-17,1.06,0.49,1.6400000000000001,0.87,1.35
Basilicata,2021-12-18,0.8300000000000001,0.27,1.43,0.64,1.1300000000000001
Basilicata,2021-12-19,1.24,0.64,1.83,1.02,1.51
Basilicata,2021-12-20,1.6,1.05,2.16,1.42,1.8800000000000001
Basilicata,2021-12-21,1.97,1.48,2.48,1.79,2.2
Basilicata,2021-12-22,1.78,1.33,2.24,1.6300000000000001,2.0100000000000002
Basilicata,2021-12-23,1.11,0.67,1.57,0.9500000000000001,1.32
Basilicata,2021-12-24,1.19,0.75,1.6600000000000001,1.05,1.43
Basilicata,2021-12-25,1.78,1.37,2.22,1.6300000000000001,1.98
Basilicata,2021-12-26,1.81,1.44,2.21,1.69,2.0100000000000002
Basilicata,2021-12-27,1.71,1.35,2.06,1.6,1.9000000000000001
Basilicata,2021-12-28,1.32,0.99,1.68,1.22,1.51
Basilicata,2021-12-29,1.18,0.84,1.52,1.05,1.33
Basilicata,2021-12-30,1.67,1.35,1.99,1.57,1.84
Calabria,2021-11-24,1.83,1.05,2.69,1.56,2.24
Calabria,2021-11-25,1.99,1.35,2.66,1.76,2.3000000000000003
Calabria,2021-11-26,1.47,0.87,2.06,1.25,1.74
Calabria,2021-11-27,2.11,1.57,2.67,1.8900000000000001,2.34
Calabria,2021-11-28,1.6400000000000001,1.1500000000000001,2.16,1.48,1.9000000000000001
Calabria,2021-11-29,1.45,0.97,1.95,1.25,1.6500000000000001
Calabria,2021-11-30,1.4000000000000001,0.92,1.87,1.21,1.6
Calabria,2021-12-01,1.72,1.29,2.19,1.57,1.94
Calabria,2021-12-02,1.28,0.86,1.72,1.1500000000000001,1.51
Calabria,2021-12-03,1.19,0.78,1.6400000000000001,1.02,1.37
Calabria,2021-12-04,1.11,0.6900000000000001,1.54,0.96,1.31
Calabria,2021-12-05,1.1300000000000001,0.71,1.55,0.99,1.34
Calabria,2021-12-06,1.17,0.76,1.59,1.01,1.35
Calabria,2021-12-07,0.9400000000000001,0.53,1.36,0.77,1.11
Calabria,2021-12-08,0.91,0.51,1.36,0.77,1.12
Calabria,2021-12-09,1.43,1.04,1.86,1.3,1.6400000000000001
Calabria,2021-12-10,0.92,0.53,1.34,0.76,1.09
Calabria,2021-12-11,1.09,0.6900000000000001,1.5,0.97,1.31
Calabria,2021-12-12,1.0,0.61,1.42,0.84,1.17
Calabria,2021-12-13,1.54,1.16,1.93,1.41,1.73
Calabria,2021-12-14,1.54,1.2,1.92,1.43,1.73
Calabria,2021-12-15,1.41,1.08,1.77,1.31,1.6
Calabria,2021-12-16,0.85,0.52,1.22,0.74,1.03
Calabria,2021-12-17,1.47,1.1400000000000001,1.82,1.35,1.6300000000000001
Calabria,2021-12-18,0.93,0.6,1.27,0.8200000000000001,1.1
Calabria,2021-12-19,1.26,0.92,1.58,1.16,1.44
Calabria,2021-12-20,0.79,0.47000000000000003,1.1400000000000001,0.6900000000000001,0.97
Calabria,2021-12-21,1.0,0.67,1.35,0.88,1.16
Calabria,2021-12-22,1.3900000000000001,1.07,1.72,1.28,1.55
Calabria,2021-12-23,1.16,0.85,1.48,1.05,1.31
Calabria,2021-12-24,0.93,0.62,1.26,0.84,1.11
Calabria,2021-12-25,1.92,1.6400000000000001,2.23,1.81,2.05
Calabria,2021-12-26,1.98,1.73,2.25,1.9000000000000001,2.12
Calabria,2021-12-27,1.86,1.6300000000000001,2.1,1.79,1.99
Calabria,2021-12-28,1.3900000000000001,1.17,1.62,1.32,1.51
Calabria,2021-12-29,1.11,0.89,1.34,1.04,1.23
Calabria,2021-12-30,1.67,1.47,1.8900000000000001,1.59,1.76
Campania,2021-10-18,1.71,0.89,2.52,1.43,2.11
Campania,2021-10-19,1.92,1.26,2.59,1.69,2.24
Campania,2021-10-20,1.99,1.42,2.58,1.8,2.2800000000000002
Campania,2021-10-21,2.45,1.97,2.98,2.29,2.71
Campania,2021-10-22,1.79,1.35,2.2600000000000002,1.6500000000000001,2.0300000000000002
Campania,2021-10-23,1.6500000000000001,1.22,2.09,1.5,1.86
Campania,2021-10-24,1.44,1.02,1.86,1.3,1.6500000000000001
Campania,2021-10-25,1.58,1.18,1.98,1.43,1.76
Campania,2021-10-26,1.57,1.21,1.97,1.43,1.74
Campania,2021-10-27,1.51,1.17,1.8900000000000001,1.4000000000000001,1.7
Campania,2021-10-28,1.25,0.91,1.61,1.1300000000000001,1.42
Campania,2021-10-29,1.31,0.96,1.6400000000000001,1.18,1.46
Campania,2021-10-30,0.96,0.64,1.33,0.8300000000000001,1.11
Campania,2021-10-31,0.89,0.55,1.25,0.78,1.07
Campania,2021-11-01,0.77,0.42,1.1400000000000001,0.66,0.96
Campania,2021-11-02,0.89,0.54,1.27,0.76,1.06
Campania,2021-11-03,0.87,0.5,1.23,0.73,1.03
Campania,2021-11-04,1.16,0.8,1.52,1.04,1.34
Campania,2021-11-05,0.63,0.28,1.02,0.51,0.8200000000000001
Campania,2021-11-06,0.81,0.44,1.21,0.6900000000000001,1.01
Campania,2021-11-07,1.04,0.66,1.42,0.93,1.25
Campania,2021-11-08,1.1500000000000001,0.8,1.55,1.03,1.34
Campania,2021-11-09,1.1400000000000001,0.77,1.5,1.0,1.3
Campania,2021-11-10,1.12,0.75,1.47,1.0,1.3
Campania,2021-11-11,1.04,0.6900000000000001,1.41,0.92,1.22
