,date,infected,administrative_area_level_1
154514,2020-02-24,221.0,Italy
154515,2020-02-25,311.0,Italy
154516,2020-02-26,385.0,Italy
154517,2020-02-27,588.0,Italy
154518,2020-02-28,821.0,Italy
154519,2020-02-29,1049.0,Italy
154520,2020-03-01,1577.0,Italy
154521,2020-03-02,1835.0,Italy
154522,2020-03-03,2263.0,Italy
154523,2020-03-04,2706.0,Italy
154524,2020-03-05,3296.0,Italy
154525,2020-03-06,3916.0,Italy
154526,2020-03-07,5061.0,Italy
154527,2020-03-08,6387.0,Italy
154528,2020-03-09,7985.0,Italy
154529,2020-03-10,8514.0,Italy
154530,2020-03-11,10590.0,Italy
154531,2020-03-12,12839.0,Italy
154532,2020-03-13,14955.0,Italy
154533,2020-03-14,17750.0,Italy
154534,2020-03-15,20603.0,Italy
154535,2020-03-16,23073.0,Italy
154536,2020-03-17,26062.0,Italy
154537,2020-03-18,28710.0,Italy
154538,2020-03-19,33190.0,Italy
154539,2020-03-20,37860.0,Italy
154540,2020-03-21,42681.0,Italy
154541,2020-03-22,46638.0,Italy
154542,2020-03-23,50418.0,Italy
154543,2020-03-24,54030.0,Italy
154544,2020-03-25,57521.0,Italy
154545,2020-03-26,62013.0,Italy
154546,2020-03-27,66414.0,Italy
154547,2020-03-28,70065.0,Italy
154548,2020-03-29,73880.0,Italy
154549,2020-03-30,75528.0,Italy
154550,2020-03-31,77635.0,Italy
154551,2020-04-01,80572.0,Italy
154552,2020-04-02,83049.0,Italy
154553,2020-04-03,85388.0,Italy
154554,2020-04-04,88274.0,Italy
154555,2020-04-05,91246.0,Italy
154556,2020-04-06,93187.0,Italy
154557,2020-04-07,94067.0,Italy
154558,2020-04-08,95262.0,Italy
154559,2020-04-09,96877.0,Italy
154560,2020-04-10,98273.0,Italy
154561,2020-04-11,100269.0,Italy
154562,2020-04-12,102253.0,Italy
154563,2020-04-13,103616.0,Italy
154564,2020-04-14,104291.0,Italy
154565,2020-04-15,105418.0,Italy
154566,2020-04-16,106607.0,Italy
154567,2020-04-17,106962.0,Italy
154568,2020-04-18,107771.0,Italy
154569,2020-04-19,108257.0,Italy
154570,2020-04-20,108237.0,Italy
154571,2020-04-21,107709.0,Italy
154572,2020-04-22,107699.0,Italy
154573,2020-04-23,106848.0,Italy
154574,2020-04-24,106527.0,Italy
154575,2020-04-25,105847.0,Italy
154576,2020-04-26,106103.0,Italy
154577,2020-04-27,105813.0,Italy
154578,2020-04-28,105205.0,Italy
154579,2020-04-29,104657.0,Italy
154580,2020-04-30,101551.0,Italy
154581,2020-05-01,100943.0,Italy
154582,2020-05-02,100704.0,Italy
154583,2020-05-03,100179.0,Italy
154584,2020-05-04,99980.0,Italy
154585,2020-05-05,98467.0,Italy
154586,2020-05-06,91528.0,Italy
154587,2020-05-07,89624.0,Italy
154588,2020-05-08,87961.0,Italy
154589,2020-05-09,84842.0,Italy
154590,2020-05-10,83324.0,Italy
154591,2020-05-11,82488.0,Italy
154592,2020-05-12,81266.0,Italy
154593,2020-05-13,78457.0,Italy
154594,2020-05-14,76440.0,Italy
154595,2020-05-15,72070.0,Italy
154596,2020-05-16,70187.0,Italy
154597,2020-05-17,68351.0,Italy
154598,2020-05-18,66553.0,Italy
154599,2020-05-19,65129.0,Italy
154600,2020-05-20,62752.0,Italy
154601,2020-05-21,60960.0,Italy
154602,2020-05-22,59322.0,Italy
154603,2020-05-23,57752.0,Italy
154604,2020-05-24,56594.0,Italy
154605,2020-05-25,55300.0,Italy
154606,2020-05-26,52942.0,Italy
154607,2020-05-27,50966.0,Italy
154608,2020-05-28,47986.0,Italy
154609,2020-05-29,46175.0,Italy
154610,2020-05-30,43691.0,Italy
154611,2020-05-31,42097.0,Italy
154612,2020-06-01,41367.0,Italy
154613,2020-06-02,39893.0,Italy
154614,2020-06-03,39297.0,Italy
154615,2020-06-04,38429.0,Italy
154616,2020-06-05,36976.0,Italy
154617,2020-06-06,35877.0,Italy
154618,2020-06-07,35262.0,Italy
154619,2020-06-08,34730.0,Italy
154620,2020-06-09,32872.0,Italy
154621,2020-06-10,31710.0,Italy
154622,2020-06-11,30637.0,Italy
154623,2020-06-12,28997.0,Italy
154624,2020-06-13,27485.0,Italy
154625,2020-06-14,26274.0,Italy
154626,2020-06-15,25909.0,Italy
154627,2020-06-16,24569.0,Italy
154628,2020-06-17,23925.0,Italy
154629,2020-06-18,23101.0,Italy
154630,2020-06-19,21543.0,Italy
154631,2020-06-20,21212.0,Italy
154632,2020-06-21,20972.0,Italy
154633,2020-06-22,20637.0,Italy
154634,2020-06-23,19573.0,Italy
154635,2020-06-24,18655.0,Italy
154636,2020-06-25,18303.0,Italy
154637,2020-06-26,17638.0,Italy
154638,2020-06-27,16836.0,Italy
154639,2020-06-28,16681.0,Italy
154640,2020-06-29,16496.0,Italy
154641,2020-06-30,15563.0,Italy
154642,2020-07-01,15255.0,Italy
154643,2020-07-02,15060.0,Italy
154644,2020-07-03,14884.0,Italy
154645,2020-07-04,14621.0,Italy
154646,2020-07-05,14642.0,Italy
154647,2020-07-06,14709.0,Italy
154648,2020-07-07,14242.0,Italy
154649,2020-07-08,13595.0,Italy
154650,2020-07-09,13459.0,Italy
154651,2020-07-10,13428.0,Italy
154652,2020-07-11,13303.0,Italy
154653,2020-07-12,13179.0,Italy
154654,2020-07-13,13157.0,Italy
154655,2020-07-14,12919.0,Italy
154656,2020-07-15,12493.0,Italy
154657,2020-07-16,12473.0,Italy
154658,2020-07-17,12456.0,Italy
154659,2020-07-18,12368.0,Italy
154660,2020-07-19,12440.0,Italy
154661,2020-07-20,12404.0,Italy
154662,2020-07-21,12248.0,Italy
154663,2020-07-22,12322.0,Italy
154664,2020-07-23,12404.0,Italy
154665,2020-07-24,12301.0,Italy
154666,2020-07-25,12442.0,Italy
154667,2020-07-26,12565.0,Italy
154668,2020-07-27,12581.0,Italy
154669,2020-07-28,12609.0,Italy
