,date,infected,administrative_area_level_1
149673,2020-02-26,1.0,Austria
149674,2020-02-27,3.0,Austria
149675,2020-02-28,7.0,Austria
149676,2020-02-29,8.0,Austria
149677,2020-03-01,12.0,Austria
149678,2020-03-02,17.0,Austria
149679,2020-03-03,23.0,Austria
149680,2020-03-04,37.0,Austria
149681,2020-03-05,44.0,Austria
149682,2020-03-06,73.0,Austria
149683,2020-03-07,96.0,Austria
149684,2020-03-08,124.0,Austria
149685,2020-03-09,146.0,Austria
149686,2020-03-10,200.0,Austria
149687,2020-03-11,308.0,Austria
149688,2020-03-12,402.0,Austria
149689,2020-03-13,584.0,Austria
149690,2020-03-14,790.0,Austria
149691,2020-03-15,983.0,Austria
149692,2020-03-16,1195.0,Austria
149693,2020-03-17,1537.0,Austria
149694,2020-03-18,1902.0,Austria
149695,2020-03-19,2350.0,Austria
149696,2020-03-20,2844.0,Austria
149697,2020-03-21,3375.0,Austria
149698,2020-03-22,3967.0,Austria
149699,2020-03-23,4586.0,Austria
149700,2020-03-24,5209.0,Austria
149701,2020-03-25,5857.0,Austria
149702,2020-03-26,6737.0,Austria
149703,2020-03-27,7303.0,Austria
149704,2020-03-28,7705.0,Austria
149705,2020-03-29,7986.0,Austria
149706,2020-03-30,8266.0,Austria
149707,2020-03-31,8423.0,Austria
149708,2020-04-01,8616.0,Austria
149709,2020-04-02,8649.0,Austria
149710,2020-04-03,8570.0,Austria
149711,2020-04-04,8270.0,Austria
149712,2020-04-05,8086.0,Austria
149713,2020-04-06,7644.0,Austria
149714,2020-04-07,7384.0,Austria
149715,2020-04-08,7047.0,Austria
149716,2020-04-09,6702.0,Austria
149717,2020-04-10,6399.0,Austria
149718,2020-04-11,6183.0,Austria
149719,2020-04-12,5968.0,Austria
149720,2020-04-13,5727.0,Austria
149721,2020-04-14,5307.0,Austria
149722,2020-04-15,4928.0,Austria
149723,2020-04-16,4561.0,Austria
149724,2020-04-17,4225.0,Austria
149725,2020-04-18,4012.0,Austria
149726,2020-04-19,3880.0,Austria
149727,2020-04-20,3553.0,Austria
149728,2020-04-21,3172.0,Austria
149729,2020-04-22,2974.0,Austria
149730,2020-04-23,2780.0,Austria
149731,2020-04-24,2589.0,Austria
149732,2020-04-25,2497.0,Austria
149733,2020-04-26,2413.0,Austria
149734,2020-04-27,2281.0,Austria
149735,2020-04-28,2147.0,Austria
149736,2020-04-29,2027.0,Austria
149737,2020-04-30,1871.0,Austria
149738,2020-05-01,1794.0,Austria
149739,2020-05-02,1740.0,Austria
149740,2020-05-03,1688.0,Austria
149741,2020-05-04,1564.0,Austria
149742,2020-05-05,1491.0,Austria
149743,2020-05-06,1414.0,Austria
149744,2020-05-07,1331.0,Austria
149745,2020-05-08,1210.0,Austria
149746,2020-05-09,1162.0,Austria
149747,2020-05-10,1118.0,Austria
149748,2020-05-11,1089.0,Austria
149749,2020-05-12,1035.0,Austria
149750,2020-05-13,1010.0,Austria
149751,2020-05-14,985.0,Austria
149752,2020-05-15,996.0,Austria
149753,2020-05-16,957.0,Austria
149754,2020-05-17,957.0,Austria
149755,2020-05-18,961.0,Austria
149756,2020-05-19,951.0,Austria
149757,2020-05-20,927.0,Austria
149758,2020-05-21,900.0,Austria
149759,2020-05-22,874.0,Austria
149760,2020-05-23,850.0,Austria
149761,2020-05-24,842.0,Austria
149762,2020-05-25,808.0,Austria
149763,2020-05-26,742.0,Austria
149764,2020-05-27,716.0,Austria
149765,2020-05-28,655.0,Austria
149766,2020-05-29,639.0,Austria
149767,2020-05-30,639.0,Austria
149768,2020-05-31,609.0,Austria
149769,2020-06-01,597.0,Austria
149770,2020-06-02,544.0,Austria
149771,2020-06-03,557.0,Austria
149772,2020-06-04,524.0,Austria
149773,2020-06-05,558.0,Austria
149774,2020-06-06,565.0,Austria
149775,2020-06-07,563.0,Austria
149776,2020-06-08,532.0,Austria
149777,2020-06-09,516.0,Austria
149778,2020-06-10,512.0,Austria
149779,2020-06-11,504.0,Austria
149780,2020-06-12,514.0,Austria
149781,2020-06-13,509.0,Austria
149782,2020-06-14,507.0,Austria
149783,2020-06-15,522.0,Austria
149784,2020-06-16,517.0,Austria
149785,2020-06-17,510.0,Austria
149786,2020-06-18,511.0,Austria
149787,2020-06-19,527.0,Austria
149788,2020-06-20,522.0,Austria
149789,2020-06-21,537.0,Austria
149790,2020-06-22,528.0,Austria
149791,2020-06-23,535.0,Austria
149792,2020-06-24,545.0,Austria
149793,2020-06-25,555.0,Austria
149794,2020-06-26,603.0,Austria
149795,2020-06-27,615.0,Austria
149796,2020-06-28,655.0,Austria
149797,2020-06-29,667.0,Austria
149798,2020-06-30,736.0,Austria
149799,2020-07-01,799.0,Austria
149800,2020-07-02,836.0,Austria
149801,2020-07-03,923.0,Austria
149802,2020-07-04,1006.0,Austria
149803,2020-07-05,1054.0,Austria
149804,2020-07-06,1084.0,Austria
149805,2020-07-07,1128.0,Austria
149806,2020-07-08,1199.0,Austria
149807,2020-07-09,1220.0,Austria
149808,2020-07-10,1263.0,Austria
149809,2020-07-11,1297.0,Austria
149810,2020-07-12,1302.0,Austria
149811,2020-07-13,1314.0,Austria
149812,2020-07-14,1324.0,Austria
149813,2020-07-15,1372.0,Austria
149814,2020-07-16,1403.0,Austria
149815,2020-07-17,1386.0,Austria
149816,2020-07-18,1406.0,Austria
149817,2020-07-19,1439.0,Austria
149818,2020-07-20,1425.0,Austria
149819,2020-07-21,1432.0,Austria
149820,2020-07-22,1503.0,Austria
149821,2020-07-23,1529.0,Austria
149822,2020-07-24,1579.0,Austria
149823,2020-07-25,1605.0,Austria
149824,2020-07-26,1645.0,Austria
149825,2020-07-27,1581.0,Austria
149826,2020-07-28,1590.0,Austria
149827,2020-07-29,1576.0,Austria
149828,2020-07-30,1643.0,Austria
149829,2020-07-31,1634.0,Austria
149830,2020-08-01,1600.0,Austria
149831,2020-08-02,1575.0,Austria
149832,2020-08-03,1485.0,Austria
149833,2020-08-04,1409.0,Austria
149834,2020-08-05,1414.0,Austria
149835,2020-08-06,1407.0,Austria
149836,2020-08-07,1359.0,Austria
149837,2020-08-08,1371.0,Austria
149838,2020-08-09,1374.0,Austria
149839,2020-08-10,1393.0,Austria
149840,2020-08-11,1481.0,Austria
149841,2020-08-12,1536.0,Austria
149842,2020-08-13,1688.0,Austria
149843,2020-08-14,1925.0,Austria
149844,2020-08-15,1999.0,Austria
149845,2020-08-16,2094.0,Austria
149846,2020-08-17,2242.0,Austria
149847,2020-08-18,2351.0,Austria
149848,2020-08-19,2566.0,Austria
149849,2020-08-20,2754.0,Austria
149850,2020-08-21,2847.0,Austria
149851,2020-08-22,2928.0,Austria
149852,2020-08-23,2964.0,Austria
149853,2020-08-24,3005.0,Austria
149854,2020-08-25,3076.0,Austria
149855,2020-08-26,3171.0,Austria
149856,2020-08-27,3136.0,Austria
149857,2020-08-28,3192.0,Austria
149858,2020-08-29,3253.0,Austria
149859,2020-08-30,3267.0,Austria
149860,2020-08-31,3252.0,Austria
149861,2020-09-01,3318.0,Austria
149862,2020-09-02,3488.0,Austria
149863,2020-09-03,3538.0,Austria
149864,2020-09-04,3544.0,Austria
149865,2020-09-05,3539.0,Austria
149866,2020-09-06,3734.0,Austria
149867,2020-09-07,3813.0,Austria
149868,2020-09-08,4052.0,Austria
149869,2020-09-09,4484.0,Austria
149870,2020-09-10,4857.0,Austria
149871,2020-09-11,5407.0,Austria
149872,2020-09-12,5589.0,Austria
149873,2020-09-13,5742.0,Austria
149874,2020-09-14,6278.0,Austria
149875,2020-09-15,6635.0,Austria
149876,2020-09-16,7148.0,Austria
149877,2020-09-17,7539.0,Austria
149878,2020-09-18,7920.0,Austria
149879,2020-09-19,8241.0,Austria
149880,2020-09-20,8327.0,Austria
149881,2020-09-21,8230.0,Austria
149882,2020-09-22,8317.0,Austria
149883,2020-09-23,8464.0,Austria
149884,2020-09-24,8524.0,Austria
149885,2020-09-25,8425.0,Austria
149886,2020-09-26,8438.0,Austria
149887,2020-09-27,8550.0,Austria
149888,2020-09-28,8488.0,Austria
149889,2020-09-29,8499.0,Austria
149890,2020-09-30,8635.0,Austria
149891,2020-10-01,8768.0,Austria
149892,2020-10-02,8920.0,Austria
149893,2020-10-03,9057.0,Austria
149894,2020-10-04,9352.0,Austria
149895,2020-10-05,9687.0,Austria
149896,2020-10-06,10087.0,Austria
149897,2020-10-07,10628.0,Austria
149898,2020-10-08,11010.0,Austria
149899,2020-10-09,11489.0,Austria
149900,2020-10-10,11809.0,Austria
149901,2020-10-11,12041.0,Austria
149902,2020-10-12,12325.0,Austria
149903,2020-10-13,12859.0,Austria
149904,2020-10-14,13415.0,Austria
149905,2020-10-15,14146.0,Austria
149906,2020-10-16,14815.0,Austria
149907,2020-10-17,15455.0,Austria
149908,2020-10-18,15974.0,Austria
149909,2020-10-19,16556.0,Austria
149910,2020-10-20,17479.0,Austria
149911,2020-10-21,19248.0,Austria
149912,2020-10-22,21440.0,Austria
149913,2020-10-23,23559.0,Austria
149914,2020-10-24,25487.0,Austria
149915,2020-10-25,26993.0,Austria
149916,2020-10-26,28674.0,Austria
149917,2020-10-27,31548.0,Austria
149918,2020-10-28,34113.0,Austria
149919,2020-10-29,37283.0,Austria
149920,2020-10-30,40544.0,Austria
149921,2020-10-31,43194.0,Austria
149922,2020-11-01,45752.0,Austria
149923,2020-11-02,48466.0,Austria
149924,2020-11-03,52188.0,Austria
149925,2020-11-04,56347.0,Austria
149926,2020-11-05,60287.0,Austria
149927,2020-11-06,64315.0,Austria
149928,2020-11-07,65967.0,Austria
149929,2020-11-08,68254.0,Austria
149930,2020-11-09,70198.0,Austria
149931,2020-11-10,73143.0,Austria
149932,2020-11-11,77432.0,Austria
149933,2020-11-12,80291.0,Austria
149934,2020-11-13,80809.0,Austria
149935,2020-11-14,79687.0,Austria
149936,2020-11-15,78834.0,Austria
149937,2020-11-16,78584.0,Austria
149938,2020-11-17,79555.0,Austria
149939,2020-11-18,79858.0,Austria
149940,2020-11-19,80175.0,Austria
149941,2020-11-20,78887.0,Austria
149942,2020-11-21,77471.0,Austria
149943,2020-11-22,74005.0,Austria
149944,2020-11-23,72151.0,Austria
149945,2020-11-24,71137.0,Austria
149946,2020-11-25,70462.0,Austria
149947,2020-11-26,69574.0,Austria
149948,2020-11-27,66975.0,Austria
149949,2020-11-28,65180.0,Austria
149950,2020-11-29,62300.0,Austria
149951,2020-11-30,59777.0,Austria
149952,2020-12-01,57754.0,Austria
149953,2020-12-02,55288.0,Austria
149954,2020-12-03,53496.0,Austria
149955,2020-12-04,51219.0,Austria
149956,2020-12-05,49279.0,Austria
149957,2020-12-06,47591.0,Austria
149958,2020-12-07,45404.0,Austria
149959,2020-12-08,43558.0,Austria
149960,2020-12-09,42024.0,Austria
149961,2020-12-10,40975.0,Austria
149962,2020-12-11,39866.0,Austria
149963,2020-12-12,39114.0,Austria
