,date,infected,administrative_area_level_1
116056,2020-01-02,0.0,Germany
116057,2020-01-23,0.0,Germany
116058,2020-01-27,,Germany
116059,2020-01-28,0.0,Germany
116060,2020-01-29,0.0,Germany
116061,2020-01-30,,Germany
116062,2020-01-31,0.0,Germany
116063,2020-02-01,0.0,Germany
116064,2020-02-02,,Germany
116065,2020-02-03,0.0,Germany
116066,2020-02-04,0.0,Germany
116067,2020-02-05,0.0,Germany
116068,2020-02-06,0.0,Germany
116069,2020-02-07,0.0,Germany
116070,2020-02-08,,Germany
116071,2020-02-09,,Germany
116072,2020-02-10,,Germany
116073,2020-02-11,0.0,Germany
116074,2020-02-12,,Germany
116075,2020-02-13,,Germany
116076,2020-02-14,,Germany
116077,2020-02-15,,Germany
116078,2020-02-16,,Germany
116079,2020-02-17,0.0,Germany
116080,2020-02-18,0.0,Germany
116081,2020-02-19,,Germany
116082,2020-02-20,0.0,Germany
116083,2020-02-21,,Germany
116084,2020-02-22,,Germany
116085,2020-02-23,,Germany
116086,2020-02-24,0.0,Germany
116087,2020-02-25,0.0,Germany
116088,2020-02-26,0.0,Germany
116089,2020-02-27,0.0,Germany
116090,2020-02-28,0.0,Germany
116091,2020-02-29,0.0,Germany
116092,2020-03-01,0.0,Germany
116093,2020-03-02,0.0,Germany
116094,2020-03-03,0.0,Germany
116095,2020-03-04,0.0,Germany
116096,2020-03-05,0.0,Germany
116097,2020-03-06,0.0,Germany
116098,2020-03-07,0.0,Germany
116099,2020-03-08,0.0,Germany
116100,2020-03-09,0.0,Germany
116101,2020-03-10,0.0,Germany
116102,2020-03-11,0.0,Germany
116103,2020-03-12,0.0,Germany
116104,2020-03-13,0.0,Germany
116105,2020-03-14,0.0,Germany
116106,2020-03-15,0.0,Germany
116107,2020-03-16,0.0,Germany
116108,2020-03-17,0.0,Germany
116109,2020-03-18,0.0,Germany
116110,2020-03-19,0.0,Germany
116111,2020-03-20,0.0,Germany
116112,2020-03-21,0.0,Germany
116113,2020-03-22,0.0,Germany
116114,2020-03-23,0.0,Germany
116115,2020-03-24,0.0,Germany
116116,2020-03-25,0.0,Germany
116117,2020-03-26,0.0,Germany
116118,2020-03-27,0.0,Germany
116119,2020-03-28,0.0,Germany
116120,2020-03-29,0.0,Germany
116121,2020-03-30,0.0,Germany
116122,2020-03-31,0.0,Germany
116123,2020-04-01,0.0,Germany
116124,2020-04-02,0.0,Germany
116125,2020-04-03,0.0,Germany
116126,2020-04-04,0.0,Germany
116127,2020-04-05,0.0,Germany
116128,2020-04-06,0.0,Germany
116129,2020-04-07,0.0,Germany
116130,2020-04-08,0.0,Germany
116131,2020-04-09,0.0,Germany
116132,2020-04-10,0.0,Germany
116133,2020-04-11,0.0,Germany
116134,2020-04-12,0.0,Germany
116135,2020-04-13,0.0,Germany
116136,2020-04-14,0.0,Germany
116137,2020-04-15,0.0,Germany
116138,2020-04-16,0.0,Germany
116139,2020-04-17,0.0,Germany
116140,2020-04-18,0.0,Germany
116141,2020-04-19,0.0,Germany
116142,2020-04-20,0.0,Germany
116143,2020-04-21,0.0,Germany
116144,2020-04-22,0.0,Germany
116145,2020-04-23,0.0,Germany
116146,2020-04-24,0.0,Germany
116147,2020-04-25,0.0,Germany
116148,2020-04-26,0.0,Germany
116149,2020-04-27,0.0,Germany
116150,2020-04-28,0.0,Germany
116151,2020-04-29,0.0,Germany
116152,2020-04-30,0.0,Germany
116153,2020-05-01,0.0,Germany
116154,2020-05-02,0.0,Germany
116155,2020-05-03,0.0,Germany
116156,2020-05-04,0.0,Germany
116157,2020-05-05,0.0,Germany
116158,2020-05-06,0.0,Germany
116159,2020-05-07,0.0,Germany
116160,2020-05-08,0.0,Germany
116161,2020-05-09,0.0,Germany
116162,2020-05-10,0.0,Germany
116163,2020-05-11,0.0,Germany
116164,2020-05-12,0.0,Germany
116165,2020-05-13,0.0,Germany
116166,2020-05-14,0.0,Germany
116167,2020-05-15,0.0,Germany
116168,2020-05-16,0.0,Germany
116169,2020-05-17,0.0,Germany
116170,2020-05-18,0.0,Germany
116171,2020-05-19,0.0,Germany
116172,2020-05-20,0.0,Germany
116173,2020-05-21,0.0,Germany
116174,2020-05-22,0.0,Germany
116175,2020-05-23,0.0,Germany
116176,2020-05-24,0.0,Germany
116177,2020-05-25,0.0,Germany
116178,2020-05-26,0.0,Germany
116179,2020-05-27,0.0,Germany
116180,2020-05-28,0.0,Germany
116181,2020-05-29,0.0,Germany
116182,2020-05-30,0.0,Germany
116183,2020-05-31,0.0,Germany
116184,2020-06-01,0.0,Germany
116185,2020-06-02,0.0,Germany
116186,2020-06-03,0.0,Germany
116187,2020-06-04,0.0,Germany
116188,2020-06-05,0.0,Germany
116189,2020-06-06,0.0,Germany
116190,2020-06-07,0.0,Germany
116191,2020-06-08,0.0,Germany
116192,2020-06-09,0.0,Germany
116193,2020-06-10,0.0,Germany
116194,2020-06-11,0.0,Germany
116195,2020-06-12,0.0,Germany
116196,2020-06-13,0.0,Germany
116197,2020-06-14,0.0,Germany
116198,2020-06-15,0.0,Germany
116199,2020-06-16,0.0,Germany
116200,2020-06-17,0.0,Germany
116201,2020-06-18,0.0,Germany
116202,2020-06-19,0.0,Germany
116203,2020-06-20,0.0,Germany
116204,2020-06-21,0.0,Germany
116205,2020-06-22,0.0,Germany
116206,2020-06-23,0.0,Germany
116207,2020-06-24,0.0,Germany
116208,2020-06-25,0.0,Germany
116209,2020-06-26,0.0,Germany
116210,2020-06-27,0.0,Germany
