,date,infected,administrative_area_level_1
129795,2020-01-22,,Romania
129796,2020-01-23,,Romania
129797,2020-01-24,,Romania
129798,2020-01-25,,Romania
129799,2020-01-26,,Romania
129800,2020-01-27,,Romania
129801,2020-01-28,,Romania
129802,2020-01-29,,Romania
129803,2020-01-30,,Romania
129804,2020-01-31,,Romania
129805,2020-02-01,,Romania
129806,2020-02-02,,Romania
129807,2020-02-03,,Romania
129808,2020-02-04,,Romania
129809,2020-02-05,,Romania
129810,2020-02-06,,Romania
129811,2020-02-07,,Romania
129812,2020-02-08,,Romania
129813,2020-02-09,,Romania
129814,2020-02-10,,Romania
129815,2020-02-11,,Romania
129816,2020-02-12,,Romania
129817,2020-02-13,,Romania
129818,2020-02-14,,Romania
129819,2020-02-15,,Romania
129820,2020-02-16,,Romania
129821,2020-02-17,,Romania
129822,2020-02-18,,Romania
129823,2020-02-19,,Romania
129824,2020-02-20,,Romania
129825,2020-02-21,,Romania
129826,2020-02-22,,Romania
129827,2020-02-23,,Romania
129828,2020-02-24,,Romania
129829,2020-02-25,,Romania
129830,2020-02-26,,Romania
129831,2020-02-27,,Romania
129832,2020-02-28,,Romania
129833,2020-02-29,,Romania
129834,2020-03-01,,Romania
129835,2020-03-02,,Romania
129836,2020-03-03,,Romania
129837,2020-03-04,,Romania
129838,2020-03-05,,Romania
129839,2020-03-06,,Romania
129840,2020-03-07,,Romania
129841,2020-03-08,,Romania
129842,2020-03-09,,Romania
129843,2020-03-10,,Romania
129844,2020-03-11,,Romania
129845,2020-03-12,,Romania
129846,2020-03-13,,Romania
129847,2020-03-14,,Romania
129848,2020-03-15,,Romania
129849,2020-03-16,,Romania
129850,2020-03-17,,Romania
129851,2020-03-18,,Romania
129852,2020-03-19,,Romania
129853,2020-03-20,,Romania
129854,2020-03-21,,Romania
129855,2020-03-22,366.0,Romania
129856,2020-03-23,,Romania
129857,2020-03-24,704.0,Romania
129858,2020-03-25,803.0,Romania
129859,2020-03-26,912.0,Romania
129860,2020-03-27,1151.0,Romania
129861,2020-03-28,1276.0,Romania
129862,2020-03-29,1566.0,Romania
129863,2020-03-30,1835.0,Romania
129864,2020-03-31,1943.0,Romania
129865,2020-04-01,2116.0,Romania
129866,2020-04-02,2356.0,Romania
129867,2020-04-03,2767.0,Romania
129868,2020-04-04,3138.0,Romania
129869,2020-04-05,3339.0,Romania
129870,2020-04-06,3475.0,Romania
129871,2020-04-07,3760.0,Romania
129872,2020-04-08,4013.0,Romania
129873,2020-04-09,4307.0,Romania
129874,2020-04-10,4468.0,Romania
129875,2020-04-11,4941.0,Romania
129876,2020-04-12,5132.0,Romania
129877,2020-04-13,5388.0,Romania
129878,2020-04-14,5477.0,Romania
129879,2020-04-15,5627.0,Romania
129880,2020-04-16,5958.0,Romania
129881,2020-04-17,6148.0,Romania
129882,2020-04-18,6267.0,Romania
129883,2020-04-19,6403.0,Romania
129884,2020-04-20,6441.0,Romania
129885,2020-04-21,6591.0,Romania
129886,2020-04-22,6780.0,Romania
129887,2020-04-23,7073.0,Romania
129888,2020-04-24,7033.0,Romania
129889,2020-04-25,7144.0,Romania
129890,2020-04-26,7363.0,Romania
129891,2020-04-27,7557.0,Romania
129892,2020-04-28,7549.0,Romania
129893,2020-04-29,7716.0,Romania
129894,2020-04-30,7506.0,Romania
129895,2020-05-01,7495.0,Romania
129896,2020-05-02,7414.0,Romania
129897,2020-05-03,7504.0,Romania
129898,2020-05-04,7425.0,Romania
129899,2020-05-05,7542.0,Romania
129900,2020-05-06,7455.0,Romania
129901,2020-05-07,7467.0,Romania
129902,2020-05-08,7465.0,Romania
129903,2020-05-09,7280.0,Romania
129904,2020-05-10,7350.0,Romania
129905,2020-05-11,7361.0,Romania
129906,2020-05-12,7091.0,Romania
129907,2020-05-13,7005.0,Romania
129908,2020-05-14,6141.0,Romania
129909,2020-05-15,5997.0,Romania
129910,2020-05-16,6036.0,Romania
129911,2020-05-17,5874.0,Romania
129912,2020-05-18,5986.0,Romania
129913,2020-05-19,5888.0,Romania
129914,2020-05-20,5884.0,Romania
129915,2020-05-21,5848.0,Romania
129916,2020-05-22,5769.0,Romania
129917,2020-05-23,5494.0,Romania
129918,2020-05-24,5486.0,Romania
129919,2020-05-25,5448.0,Romania
129920,2020-05-26,5339.0,Romania
129921,2020-05-27,5205.0,Romania
129922,2020-05-28,4927.0,Romania
129923,2020-05-29,4905.0,Romania
129924,2020-05-30,4828.0,Romania
129925,2020-05-31,4735.0,Romania
129926,2020-06-01,4696.0,Romania
129927,2020-06-02,4703.0,Romania
129928,2020-06-03,4573.0,Romania
129929,2020-06-04,4683.0,Romania
129930,2020-06-05,4642.0,Romania
129931,2020-06-06,4549.0,Romania
129932,2020-06-07,4508.0,Romania
129933,2020-06-08,4439.0,Romania
129934,2020-06-09,4485.0,Romania
129935,2020-06-10,4482.0,Romania
129936,2020-06-11,4530.0,Romania
129937,2020-06-12,4579.0,Romania
129938,2020-06-13,4650.0,Romania
129939,2020-06-14,4870.0,Romania
129940,2020-06-15,4921.0,Romania
129941,2020-06-16,4907.0,Romania
129942,2020-06-17,5192.0,Romania
129943,2020-06-18,5299.0,Romania
129944,2020-06-19,5361.0,Romania
129945,2020-06-20,5495.0,Romania
129946,2020-06-21,5622.0,Romania
129947,2020-06-22,5737.0,Romania
129948,2020-06-23,5779.0,Romania
129949,2020-06-24,5880.0,Romania
129950,2020-06-25,5815.0,Romania
129951,2020-06-26,5937.0,Romania
129952,2020-06-27,5903.0,Romania
129953,2020-06-28,5887.0,Romania
129954,2020-06-29,6036.0,Romania
